Property Address	Parcel Number	Inspection Date	Grade	License Status	Expiration Date	Mappable Address
106 Scottswood Drive	912115132003.00	3/18/2015	Class B	Issued	10/14/2022	"106 Scottswood Drive
Urbana, IL
(-88.1745, 40.1123)"
403 1/2 East Michigan Avenue	932117476007.00	4/1/2010	Class B	Issued		"403 1 2 East Michigan Avenue
Urbana, IL
(-88.2032, 40.1015)"
806 Ohio Street	932117302006.00	6/3/2013	Class C	Issued	10/14/2022	"806 Ohio Street
Urbana, IL
(-88.2183, 40.104)"
2001 East Florida Avenue Unit B	922116481045.00	1/16/2015	Class B	Issued	10/14/2019	"2001 East Florida Avenue
Unit B Urbana, IL
(-88.1853, 40.0983)"
502 West Green Street Unit 206	922117127028.00	2/28/2019	Class B	Issued	10/14/2022	"502 West Green Street
Urbana, IL
(40.1110153198, -88.2137756348)"
704 Church Street	912108305020.00	3/19/2014	Class C	Issued	10/14/2022	"704 Church Street
Urbana, IL
(-88.2161, 40.1186)"
913 North Gregory Street	912107281012.00	12/13/2011	Class B	Expired		"913 North Gregory Street
Urbana, IL
(-88.2214, 40.1211)"
308 East Barr Avenue	912108280025.00	10/19/2021	Class B	Issued	10/14/2022	"308 East Barr Avenue
Urbana, IL
(40.1204109192, -88.2039108276)"
404 East High Street	922117239006.00	9/17/2021	Class B	Issued	10/14/2022	"404 East High Street
Urbana, IL
(40.11024, -88.203285)"
1708 East Lexington Drive	932128405023.00	12/13/2017	Class A	Issued	10/14/2022	"1708 East Lexington Drive
Urbana, IL
(40.07563, -88.18614)"
1102 Colorado Avenue	932121126033.00	4/8/2010	Class B	Expired		"1102 Colorado Avenue
Urbana, IL
(-88.1942, 40.095)"
603 South Walnut Street	922117257006.00	4/2/2007	Class B	Expired		"603 South Walnut Street
Urbana, IL
(-88.2065, 40.1081)"
2110 East Rainbow View	912115304026.00	3/11/2015	Class B	Expired	10/14/2019	"2110 East Rainbow View
Urbana, IL
(-88.1802, 40.1035)"
707 South Walnut Street	922117263018.00	11/30/2009	Class B	Expired	10/14/2022	"707 South Walnut Street
Urbana, IL
(-88.2065, 40.107)"
1407 South Lincolnwood Drive	922116477012.00	3/27/2018	Class B	Issued	10/14/2022	"1407 South Lincolnwood Drive
Urbana, IL
(40.1009788513, -88.1858825684)"
505 East Elm Street	922117235006.00	9/2/2021	Class C	Issued	10/14/2022	"505 East Elm Street
Urbana, IL
(40.111465, -88.20187)"
1503 Curtiss Drive	922116478024.00	2/5/2015	Class B	Expired	10/14/2022	"1503 Curtiss Drive
Urbana, IL
(-88.1849, 40.1005)"
310 East Washington Street	922117284030.00	12/1/2009	Class A	Issued	10/14/2022	"310 East Washington Street
Urbana, IL
(-88.204, 40.1057)"
1605 Wiley Drive	922116352013.00	9/20/2021	Class A	Fee Exempt Registration	10/14/2020	"1605 Wiley Drive
Urbana, IL
(40.098865509, -88.1982116699)"
810 North Coler Avenue	912108308001.00	3/19/2014	Class B	Issued	10/14/2022	"810 North Coler Avenue
Urbana, IL
(-88.2154, 40.1199)"
1902 Willow Road	912104351004.00	5/21/2010	Class B	Issued		"1902 Willow Road
Urbana, IL
(-88.2007, 40.1305)"
702 Western Avenue	922117104010.00	7/2/2012	Class B	Issued	10/14/2022	"702 Western Avenue
Urbana, IL
(-88.2164, 40.1123)"
1503 Briarcliff Drive	922116453004.00	3/24/2016	Class B	Issued	10/14/2022	"1503 Briarcliff Drive
Urbana, IL
(-88.1902, 40.0998)"
614 A East Colorado Avenue	932121105007.00	10/23/2017	Class B	Issued	10/14/2022	"614 A East Colorado Avenue
Urbana, IL
(40.094975, -88.19929)"
1708 Pleasant Street	932120203007.00	9/14/2016	Class C	Issued		"1708 Pleasant Street
Urbana, IL
(-88.206, 40.0971)"
3030 East Stillwater Landing Unit 202	932122406022.00	11/16/2017	Class B	Issued	10/14/2022	"3030 East Stillwater Landing
Urbana, IL
(40.090675, -88.166405)"
203 South Cottage Grove Avenue	922116104033.00	4/9/2012	Class B	Expired	10/14/2022	"203 South Cottage Grove Avenue
Urbana, IL
(-88.1961, 40.1117)"
704 Stoughton Street	912108359012.00	5/19/2008	Class B	Issued	10/14/2022	"704 Stoughton Street
Urbana, IL
(-88.2166, 40.1135)"
406 West Main Street	912108380014.00	7/6/2007	Class B	Issued	10/14/2022	"406 West Main Street
Urbana, IL
(-88.2122, 40.1135)"
710 Western Avenue	922117104008.00	8/31/2007	Class B	Issued		"710 Western Avenue
Urbana, IL
(-88.2171, 40.1122)"
101 South Busey Avenue	922117102011.00	7/27/2012	Class B	Issued	10/14/2022	"101 South Busey Avenue
Urbana, IL
(-88.2181, 40.1121)"
807 Anderson Street	922117287021.00	11/5/2009	Class B	Expired	10/14/2022	"807 Anderson Street
Urbana, IL
(-88.2005, 40.1061)"
112 East Crystal Lake Drive	912108404014.00	10/21/2021	Class B	Issued	10/14/2022	"112 East Crystal Lake Drive
Urbana, IL
(40.119167, -88.206535)"
308 East Iowa Street	932117426024.00	1/17/2020	Class B	Issued	10/14/2022	"308 East Iowa Street
Urbana, IL
(40.1049842834, -88.2038574219)"
603 East Scovill Street	932121353001.00	2/21/2017	Class B	Issued	10/14/2022	"603 East Scovill Street
Urbana, IL
(40.085224, -88.199776)"
1401 East Michigan Avenue	922116377004.00	5/3/2016	Class B	Issued	10/14/2017	"1401 East Michigan Avenue
Urbana, IL
(-88.1918, 40.1014)"
2005 Bruce Drive	932121178007.00	6/4/2013	Class A	Issued	10/14/2022	"2005 Bruce Drive
Urbana, IL
(-88.1932, 40.0928)"
907 South Rainbow View	922116427011.00	9/12/2018	Class B	Expired	10/14/2021	"907 South Rainbow View
Urbana, IL
(40.1048736572, -88.1850128174)"
1101 East Willard Street	932121380004.00	3/8/2017	Class B	Issued	10/14/2022	"1101 East Willard Street
Urbana, IL
(40.084064, -88.1954)"
903 North Lincoln Avenue	912107282026.00	8/11/2008	Class B	Issued	10/14/2021	"903 North Lincoln Avenue
Urbana, IL
(-88.2198, 40.1202)"
306 East Crystal Lake Drive	912108404025.00	11/17/2021	Class B	Issued	10/14/2022	"306 East Crystal Lake Drive
Urbana, IL
(40.11911, -88.204765)"
1002 Eads Street	912107276017.00	11/7/2011	Class A	Expired		"1002 Eads Street
Urbana, IL
(-88.222, 40.1235)"
1106 North Lincoln Avenue	912108151008.00	12/8/2011	Class B	Expired	10/14/2022	"1106 North Lincoln Avenue
Urbana, IL
(-88.2191, 40.1223)"
1014 Austin Drive	922116402029.00	8/28/2014	Class B	Expired	10/14/2022	"1014 Austin Drive
Urbana, IL
(-88.1873, 40.104)"
801 West Oregon Street	922117153005.00	5/4/2010	Class C	Issued	10/14/2022	"801 West Oregon Street
Urbana, IL
(-88.2179, 40.1072)"
1407 North Romine Street	912107205012.00	4/19/2016	Class C	Issued	10/14/2022	"1407 North Romine Street
Urbana, IL
(-88.2278, 40.1254)"
1409 Lincolnwood Drive	922116477013.00	1/21/2015	Class B	Issued	10/14/2022	"1409 Lincolnwood Drive
Urbana, IL
(-88.1859, 40.1008)"
706 East Colorado Avenue	932121106014.00	8/9/2017	Class B	Issued	10/14/2022	"706 East Colorado Avenue
Urbana, IL
(40.094997406, -88.1977615356)"
1009 South Cottage Grove Avenue	922116304023.00	3/3/2016	Class B	Issued		"1009 South Cottage Grove Avenue
Urbana, IL
(-88.1959, 40.104)"
708 West High Street	922117107012.00	6/27/2018	Class B	Issued	10/14/2022	"708 West High Street
Urbana, IL
(40.11003, -88.216896)"
1101 Lanore Drive	922116404003.00	8/11/2014	Class B	Expired		"1101 Lanore Drive
Urbana, IL
(-88.1868, 40.1036)"
605 West Indiana Avenue	932117308012.00	11/27/2019	Class B	Issued	10/14/2022	"605 West Indiana Avenue
Urbana, IL
(40.10255, -88.21507)"
502 West Green Street Unit 210	922117127032.00	2/28/2019	Class B	Issued	10/14/2022	"502 West Green Street
Urbana, IL
(40.1112937927, -88.2137298584)"
903 Lanore Drive	922116402022.00	8/5/2014	Class B	Issued		"903 Lanore Drive
Urbana, IL
(-88.1869, 40.1052)"
502 West Green Street Unit 113	922117127022.00	2/28/2019	Class B	Issued	10/14/2022	"502 West Green Street
Urbana, IL
(40.1112976074, -88.2133789062)"
1404 South Cottage Grove Avenue	922116379002.00	3/8/2016	Class C	Issued	10/14/2022	"1404 South Cottage Grove Avenue
Urbana, IL
(-88.1953, 40.1004)"
606 South Webber Street	922116157006.00	5/22/2012	Class B	Issued		"606 South Webber Street
Urbana, IL
(-88.1989, 40.108)"
1406 Beech Street	912107251013.00	7/27/2011	Class B	Expired	10/14/2022	"1406 Beech Street
Urbana, IL
(-88.2279, 40.1224)"
106 South Coler Avenue	922117110001.00	5/1/2013	Class B	Issued	10/14/2022	"106 South Coler Avenue
Urbana, IL
(-88.2158, 40.1119)"
502 West Green Street Unit 110	922117127019.00	2/28/2019	Class B	Issued	10/14/2022	"502 West Green Street
Urbana, IL
(40.1112937927, -88.2137298584)"
805 East Illinois Street	922116152003.00	1/12/2016	Class B	Issued	10/14/2022	"805 East Illinois Street
Urbana, IL
(-88.1983, 40.1091)"
803 West Nevada Street	922117154005.00	11/7/2012	Class B	Issued	10/14/2022	"803 West Nevada Street
Urbana, IL
(-88.2181, 40.1062)"
106 North Gregory Street	912107487001.00	3/9/2009	Class B	Issued	10/14/2021	"106 North Gregory Street
Urbana, IL
(-88.2207, 40.1128)"
1110 East Michigan Avenue	922116376026.00	4/29/2013	Class B	Issued		"1110 East Michigan Avenue
Urbana, IL
(-88.1944, 40.1019)"
810 South Race Street	922117261012.00	9/3/2019	Class B	Issued	10/14/2022	"810 South Race Street
Urbana, IL
(40.1058158875, -88.2084884644)"
1001 Crestwood Drive	922116306010.00	3/9/2016	Class B	Issued	10/14/2021	"1001 Crestwood Drive
Urbana, IL
(-88.1965, 40.103)"
809 East Main Street	922116103006.00	4/12/2012	Class B	Issued	10/14/2022	"809 East Main Street
Urbana, IL
(-88.1982, 40.1127)"
306 East Barr Avenue	912108280024.00	11/16/2021	Class A	Issued	10/14/2022	"306 East Barr Avenue
Urbana, IL
(40.1204109192, -88.2041397095)"
605 Sunny Lane	912115180029.00	3/26/2015	Class A	Issued	10/14/2022	"605 Sunny Lane
Urbana, IL
(-88.1729, 40.1073)"
203 North McCullough Street	912108363009.00	6/19/2008	Class B	Issued	10/14/2022	"203 North McCullough Street
Urbana, IL
(-88.2132, 40.1133)"
503 West High Street	922117129004.00	6/18/2008	Class B	Expired	10/14/2022	"503 West High Street
Urbana, IL
(-88.2136, 40.1096)"
2404 East Elm Street	912115126005.00	12/7/2017	Class B	Issued	10/14/2022	"2404 East Elm Street
Urbana, IL
(40.11132, -88.176384)"
902 South Lincoln Avenue	932117301001.00	5/31/2018	Class B	Issued	10/14/2022	"902 South Lincoln Avenue
Urbana, IL
(40.1054039001, -88.2187652588)"
707 Springfield Avenue	922117104004.00	7/16/2012	Class C	Issued	10/14/2022	"707 Springfield Avenue
Urbana, IL
(-88.217, 40.1126)"
1305 Bradley Avenue	912107203001.00	7/15/2011	Class B	Issued	10/14/2022	"1305 Bradley Avenue
Urbana, IL
(-88.2274, 40.1271)"
605 South Broadway Avenue Apt B	922117256015.00	8/9/2019	Class B	Issued	10/14/2022	"605 South Broadway Avenue
Apt B Urbana, IL
(40.107914, -88.20762)"
407 East Green Street	922117239004.00	8/5/2021	Class B	Issued	10/14/2022	"407 East Green Street
Urbana, IL
(40.11058, -88.2028)"
1207 East Green Street	922116131011.00	6/29/2014	Class B	Issued	10/14/2022	"1207 East Green Street
Urbana, IL
(-88.1938, 40.1108)"
2205 South Philo Road	932121332024.00	3/14/2017	Class A	Issued	10/14/2022	"2205 South Philo Road
Urbana, IL
(40.0894966125, -88.19090271)"
506 East Illinois Street	922117244007.00	11/29/2021	Class A	Issued	10/14/2022	"506 East Illinois Street
Urbana, IL
(40.10948, -88.20182)"
606 East McHenry Street	932121303007.00	6/5/2013	Class B	Issued	10/14/2022	"606 East McHenry Street
Urbana, IL
(-88.1998, 40.088)"
1511 South Smith Road	912115385007.00	3/17/2015	Class B	Issued	10/14/2022	"1511 South Smith Road
Urbana, IL
(-88.1762, 40.0997)"
904 North Broadway Avenue Unit 6	912108257019.00	2/8/2008	Class B	Issued	10/14/2022	"904 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1206)"
310 West Iowa Street	932117327013.00	7/3/2019	Class B	Issued	10/14/2022	"310 West Iowa Street
Urbana, IL
(40.104904, -88.21186)"
603 West High Street	922117113005.00	6/24/2013	Class B	Issued		"603 West High Street
Urbana, IL
(-88.2149, 40.1096)"
109 South Poplar Street	922116126022.00	6/29/2012	Class B	Issued	10/14/2022	"109 South Poplar Street
Urbana, IL
(-88.1949, 40.1121)"
904 North Broadway Avenue Unit 213	912108257062.00	2/4/2008	Class B	Expired	10/14/2022	"904 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1206)"
107 North Busey Avenue Unit A	912108355016.00	11/2/2010	Class B	Issued	10/14/2022	"107 North Busey Avenue
Unit A Urbana, IL
(-88.2178, 40.1125)"
203 Crystal Lake Drive	912108405010.00	9/28/2010	Class B	Expired	10/14/2022	"203 Crystal Lake Drive
Urbana, IL
(-88.206, 40.1186)"
602 West Illinois Street	922117113014.00	4/11/2019	Class B	Issued	10/14/2022	"602 West Illinois Street
Urbana, IL
(40.109287, -88.214745)"
614 West Illinois Street	922117113007.00	12/23/2008	Class B	Issued	10/14/2022	"614 West Illinois Street
Urbana, IL
(-88.2158, 40.1093)"
1204 East Oregon Street	922116177010.00	12/13/2012	Class A	Issued	10/14/2022	"1204 East Oregon Street
Urbana, IL
(-88.1941, 40.1079)"
704 East University Avenue	912109303008.00	8/4/2010	Class B	Expired		"704 East University Avenue
Urbana, IL
(-88.2002, 40.1166)"
811 East Main Street	922116103011.00	6/25/2015	Class C	Issued		"811 East Main Street
Urbana, IL
(-88.1981, 40.1128)"
817 West Clark Street	912108353007.00	12/20/2021	Class A	Issued	10/14/2022	"817 West Clark Street
Urbana, IL
(40.115185, -88.21849)"
1707 Willow Court	912105477031.00	7/13/2010	Class A	Issued	10/14/2022	"1707 Willow Court
Urbana, IL
(-88.2014, 40.129)"
610 West Elm Street	922117110003.00	6/12/2013	Class B	Issued	10/14/2022	"610 West Elm Street
Urbana, IL
(-88.2157, 40.1117)"
910 South Lierman Avenue Unit A	922116402043.00	7/21/2014	Class B	Issued		"910 South Lierman Avenue
Unit A Urbana, IL
(-88.1887, 40.1056)"
701 West Green Street	922117107008.00	1/25/2013	Class B	Issued		"701 West Green Street
Urbana, IL
(-88.2163, 40.1104)"
1402 Beech Street	912107251015.00	7/26/2011	Class B	Issued	10/14/2022	"1402 Beech Street
Urbana, IL
(-88.2274, 40.1224)"
1109 East Oregon Street	922116179005.00	12/13/2012	Class B	Issued		"1109 East Oregon Street
Urbana, IL
(-88.1947, 40.1074)"
1002 Hill Street	912107428014.00	12/8/2011	Class B	Issued		"1002 Hill Street
Urbana, IL
(-88.2209, 40.1194)"
806 Harvey Street	912107428001.00	11/4/2011	Class B	Issued		"806 Harvey Street
Urbana, IL
(-88.2215, 40.1198)"
2104 East Main Street	912110353004.00	4/10/2012	Class B	Issued	10/14/2022	"2104 East Main Street
Urbana, IL
(-88.1808, 40.1134)"
904 North Broadway Avenue Unit 4	912108257017.00	2/8/2008	Class B	Expired	10/14/2022	"904 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1206)"
1512 Montgomery Street	912115388022.00	3/11/2015	Class B	Issued	10/14/2022	"1512 Montgomery Street
Urbana, IL
(-88.1736, 40.0997)"
502 West High Street	922117128015.00	6/18/2008	Class B	Expired		"502 West High Street
Urbana, IL
(-88.2133, 40.11)"
808 Hawthorne Drive	922116305021.00	2/29/2016	Class B	Issued		"808 Hawthorne Drive
Urbana, IL
(-88.1984, 40.1026)"
811 West Oregon Street	922117153001.00	11/19/2018	Class B	Issued	10/14/2022	"811 West Oregon Street
Urbana, IL
(40.10718, -88.21894)"
113 West Florida Avenue	932120201004.00	12/20/2021	Class A	Issued	10/14/2022	"113 West Florida Avenue
Urbana, IL
(40.098118, -88.20897)"
407 West Elm Street	922117132002.00	6/12/2008	Class B	Issued	10/14/2022	"407 West Elm Street
Urbana, IL
(-88.2126, 40.1113)"
3007 A East Windsor Road	932127200016.00	12/14/2017	Class B	Issued	10/14/2022	"3007 A East Windsor Road
Urbana, IL
(40.0835609436, -88.1661834717)"
704 West Illinois Street	922117108011.00	4/9/2018	Class B	Issued	10/14/2022	"704 West Illinois Street
Urbana, IL
(40.109314, -88.21661)"
710 South Walnut Street	922117264009.00	4/2/2007	Class B	Expired	10/14/2022	"710 South Walnut Street
Urbana, IL
(-88.2059, 40.1068)"
705 West Main Street	912108359016.00	9/19/2008	Class B	Issued	10/14/2022	"705 West Main Street
Urbana, IL
(-88.2165, 40.1138)"
1107 Austin Drive	922116403005.00	8/8/2014	Class B	Issued	10/14/2022	"1107 Austin Drive
Urbana, IL
(-88.1878, 40.1031)"
502 West Green Street Unit 102	922117127016.00	2/28/2019	Class B	Issued	10/14/2022	"502 West Green Street
Urbana, IL
(40.1108360291, -88.2134857178)"
713 West Pennsylvania Avenue	932117356002.00	7/24/2009	Class A	Expired	10/14/2022	"713 West Pennsylvania Avenue
Urbana, IL
(-88.2171, 40.1004)"
1103 Fairview Avenue	912107426008.00	11/10/2011	Class C	Issued	10/14/2022	"1103 Fairview Avenue
Urbana, IL
(-88.2222, 40.1198)"
1124 Austin Drive	922116404014.00	7/29/2014	Class B	Issued	10/14/2022	"1124 Austin Drive
Urbana, IL
(-88.1872, 40.1017)"
208 East Crystal Lake Drive	912108404019.00	10/7/2021	Class B	Issued	10/14/2022	"208 East Crystal Lake Drive
Urbana, IL
(40.11914, -88.205765)"
707 South Race Street	922117259009.00	6/4/2019	Class B	Issued	10/14/2022	"707 South Race Street
Urbana, IL
(40.107014, -88.20908)"
203 North Coler Avenue	912108359014.00	11/10/2010	Class B	Issued	10/14/2022	"203 North Coler Avenue
Urbana, IL
(-88.2162, 40.1134)"
809 East Park Street	912109305005.00	10/5/2021	Class B	Issued	10/14/2022	"809 East Park Street
Urbana, IL
(40.116974, -88.19791)"
206 West Florida Avenue	932117383017.00	2/27/2020	Class B	Issued	10/14/2022	"206 West Florida Avenue
Urbana, IL
(40.0985336304, -88.2102432251)"
801 West Green Street	922117103005.00	9/6/2018	Class B	Issued	10/14/2022	"801 West Green Street
Urbana, IL
(40.1103401184, -88.217956543)"
909 Crestwood Drive	922116306007.00	3/1/2016	Class B	Issued		"909 Crestwood Drive
Urbana, IL
(-88.197, 40.103)"
312 Johnson Avenue	922116112006.00	4/17/2012	Class C	Issued	10/14/2022	"312 Johnson Avenue
Urbana, IL
(-88.1967, 40.1101)"
605 West Green Street	922117112003.00	2/11/2019	Class B	Issued	10/14/2022	"605 West Green Street
Urbana, IL
(40.110370636, -88.2151794434)"
906 East Harding Drive Unit 301	932121152036.00	3/3/2017	Class B	Issued	10/14/2022	"906 East Harding Drive
Urbana, IL
(40.094006, -88.19624)"
807 West California Avenue	922117152003.00	6/28/2018	Class B	Issued	10/14/2022	"807 West California Avenue
Urbana, IL
(40.1080169678, -88.2185745239)"
1202 A East Silver Street	932121181016.00	4/7/2017	Class B	Issued	10/14/2022	"1202 A East Silver Street
Urbana, IL
(40.091717, -88.193535)"
307 South Busey Avenue	922117103016.00	7/19/2007	Class B	Issued	10/14/2022	"307 South Busey Avenue
Urbana, IL
(-88.218, 40.1098)"
905 East Pennsylvania Avenue	922116353003.00	3/29/2016	Class B	Contract Sale	10/14/2022	"905 East Pennsylvania Avenue
Urbana, IL
(-88.1972, 40.1001)"
411 East Kerr Avenue	912108280013.00	10/19/2021	Class B	Issued	10/14/2022	"411 East Kerr Avenue
Urbana, IL
(40.1212692261, -88.2029876709)"
1002 Clark Street	912107480019.00	3/23/2009	Class B	Issued		"1002 Clark Street
Urbana, IL
(-88.2212, 40.1157)"
1206 Hill Street	912107410014.00	4/23/2014	Class B	Expired	10/14/2022	"1206 Hill Street
Urbana, IL
(-88.2248, 40.1196)"
1605 Adams Street	922116453011.00	6/15/2016	Class B	Issued	10/14/2022	"1605 Adams Street
Urbana, IL
(-88.1892, 40.0988)"
904 North Broadway Avenue Unit 222	912108257071.00	2/4/2008	Class B	Expired		"904 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1206)"
906 East Harding Drive Unit 204	932121152035.00	2/28/2017	Class B	Issued	10/14/2022	"906 East Harding Drive
Urbana, IL
(40.0940856934, -88.196105957)"
1201 Silver Street	932121182006.00	6/14/2013	Class B	Issued	10/14/2022	"1201 Silver Street
Urbana, IL
(-88.1937, 40.0912)"
211 West Oregon Street	922117188001.00	7/15/2009	Class B	Issued		"211 West Oregon Street
Urbana, IL
(-88.2101, 40.1073)"
208 East Oregon Street	922117258009.00	11/20/2009	Class B	Issued	10/14/2022	"208 East Oregon Street
Urbana, IL
(-88.2054, 40.1079)"
1704 A South Cottage Grove Avenue	932121126021.00	2/6/2018	Class A	Issued	10/14/2022	"1704 A South Cottage Grove Avenue
Urbana, IL
(40.097824, -88.19512)"
2005 Vawter Street	932121179012.00	8/10/2016	Class B	Issued	10/14/2022	"2005 Vawter Street
Urbana, IL
(-88.1918, 40.0932)"
1702 East Trails Drive	932128253005.00	12/8/2017	Class B	Issued	10/14/2022	"1702 East Trails Drive
Urbana, IL
(40.077423, -88.186264)"
1912 Weaver Street	922116429017.00	1/30/2015	Class B	Issued	10/14/2021	"1912 Weaver Street
Urbana, IL
(-88.1831, 40.1044)"
509 West Nevada Street	922117162009.00	4/29/2013	Class C	Issued	10/14/2022	"509 West Nevada Street
Urbana, IL
(-88.2141, 40.1063)"
714 West Washington Street	922117158010.00	8/6/2018	Class B	Expired	10/14/2021	"714 West Washington Street
Urbana, IL
(40.1057357788, -88.2174377441)"
1602 Lincolnwood Drive	922116478015.00	1/15/2015	Class B	Issued	10/14/2022	"1602 Lincolnwood Drive
Urbana, IL
(-88.1844, 40.0996)"
602 West Michigan Avenue	932117308030.00	12/2/2009	Class B	Issued	10/14/2022	"602 West Michigan Avenue
Urbana, IL
(-88.2146, 40.1021)"
1712 James Cherry Drive	922116456026.00	5/6/2013	Class B	Issued		"1712 James Cherry Drive
Urbana, IL
(-88.1851, 40.0989)"
1004 South Lierman Avenue Unit C	922116402053.00	7/21/2014	Class B	Issued	10/14/2022	"1004 South Lierman Avenue
Unit C Urbana, IL
(-88.1887, 40.1047)"
